"code_ogr","libelle_appellation_long","libelle_appellation_court","code_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","classification","origine","code_rome_parent","peu_usite"
"12773","Commissaire principal / Commissaire principale de police","Commissaire principal / Commissaire principale de police","K1709","Emploi Blanc","","","","","SYNONYME","","K1704","N"
"12774","Commissaire-inspecteur / Commissaire-inspectrice des installations classées","Commissaire-inspecteur(trice) des installations classées","H1302","Emploi Vert","","","","","SYNONYME","","H1302","N"
"12775","Commissaire-priseur / Commissaire-priseure","Commissaire-priseur / Commissaire-priseure","K1907","Emploi Blanc","","","","O","PRINCIPALE","","K1901","N"
"12776","Commissaire-priseur / Commissaire-priseuse judiciaire","Commissaire-priseur / Commissaire-priseuse judiciaire","K1907","Emploi Blanc","","","","O","SYNONYME","","K1901","N"
"12777","Commissionnaire en douane","Commissionnaire en douane","N1203","Emploi Blanc","","","","","SYNONYME","","N1202","N"
"12778","Compagnon / Compagnonne forge industrielle","Compagnon / Compagnonne forge industrielle","H2904","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H2904","N"
"12779","Compagnon routier / Compagnonne routière","Compagnon routier / Compagnonne routière","F1702","Emploi Blanc","","","","","SYNONYME","","F1702","N"
"12780","Compagnon / Compagnonne Voiries et Réseaux Divers -VRD-","Compagnon / Compagnonne Voiries et Réseaux Divers -VRD-","F1702","Emploi Blanc","","","","","SYNONYME","","F1702","N"
"12781","Compograveur / Compograveuse","Compograveur / Compograveuse","E1306","Emploi Blanc","","","","","SYNONYME","","E1306","N"
"12782","Composeur / Composeuse verre","Composeur / Composeuse verre","H3303","Emploi Blanc","","","","","SYNONYME","","H3303","N"
"12783","Compositeur / Compositrice","Compositeur / Compositrice","L1202","Emploi Blanc","","","","","SYNONYME","","L1202","N"
"12784","Compositeur / Compositrice de panneaux de bois","Compositeur / Compositrice de panneaux de bois","H2201","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H2201","N"
"12785","Compositeur / Compositrice en Publication Assistée par Ordinateur (PAO)","Compositeur(trice) en Publication Assistée par Ordinateur","E1306","Emploi Blanc","","","","","SYNONYME","","E1306","N"
"12786","Comptable","Comptable","M1203","Emploi Blanc","","","","","PRINCIPALE","","M1203","N"
"12787","Comptable analytique","Comptable analytique","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12788","Comptable clientèle","Comptable clientèle","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12789","Comptable de gestion locative","Comptable de gestion locative","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12790","Comptable d'entreprise","Comptable d'entreprise","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12791","Comptable des jeux","Comptable des jeux","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12792","Comptable fournisseurs","Comptable fournisseurs","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12793","Comptable général / Comptable générale","Comptable général / Comptable générale","M1203","Emploi Blanc","","","","N","SYNONYME","","M1203","N"
"12794","Comptable gérance immobilière","Comptable gérance immobilière","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12795","Comptable industriel / Comptable industrielle","Comptable industriel / Comptable industrielle","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12796","Comptable principal / Comptable principale","Comptable principal / Comptable principale","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12797","Comptable service paie","Comptable service paie","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12798","Comptable spécialisé / Comptable spécialisée en comptabilité analytique","Comptable spécialisé(e) en comptabilité analytique","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12799","Comptable spécialisé / Comptable spécialisée en comptabilité générale","Comptable spécialisé / Spécialisée en comptabilité générale","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12800","Comptable spécialisé / Comptable spécialisée export","Comptable spécialisé / Comptable spécialisée export","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12801","Comptable spécialisé / Comptable spécialisée facturation","Comptable spécialisé / Comptable spécialisée facturation","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12802","Comptable spécialisé / Comptable spécialisée paie","Comptable spécialisé / Comptable spécialisée paie","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12803","Comptable spécialisé / Comptable spécialisée recouvrement","Comptable spécialisé / Comptable spécialisée recouvrement","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12804","Comptable syndic immobilier","Comptable syndic immobilier","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12805","Comptable territorial / Comptable territoriale","Comptable territorial / Comptable territoriale","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12806","Comptable trésorerie","Comptable trésorerie","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12807","Comptable unique","Comptable unique","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12808","Comptable-gestionnaire de stock","Comptable-gestionnaire de stock","M1203","Emploi Blanc","","","","","SYNONYME","","M1203","N"
"12809","Concepteur aménageur / Conceptrice aménageuse d'espaces intérieurs","Concepteur(trice) aménageur(se) d'espaces intérieurs","F1102","Emploi Blanc","","","","O","SYNONYME","","F1102","N"
"12811","Concepteur / Conceptrice artistique communication multimédia","Concepteur / Conceptrice artistique communication multimédia","E1104","Emploi Blanc","O","","","","SYNONYME","","E1104","N"
"12812","Concepteur / Conceptrice coiffures spectacle","Concepteur / Conceptrice coiffures spectacle","L1516","Emploi Blanc","","","","","SYNONYME","","L1501","N"
"12813","Concepteur créateur / Conceptrice créatrice textile","Concepteur créateur / Conceptrice créatrice textile","B1805","Emploi Blanc","","","","","SYNONYME","","B1805","N"
"12814","Concepteur / Conceptrice d'application informatique","Concepteur / Conceptrice d'application informatique","M1861","Emploi Blanc","O","","","","SYNONYME","","M1805","N"
"12815","Concepteur / Conceptrice de costumes","Concepteur / Conceptrice de costumes","L1520","Emploi Blanc","","","","","PRINCIPALE","","L1502","N"
"12816","Concepteur / Conceptrice de jeux vidéo","Concepteur / Conceptrice de jeux vidéo","E1125","Emploi Blanc","O","","","","PRINCIPALE","","E1104","N"
"12817","Concepteur / Conceptrice de prestations touristiques","Concepteur / Conceptrice de prestations touristiques","G1301","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","G1301","N"
"12818","Concepteur / Conceptrice de produits d'écotourisme","Concepteur / Conceptrice de produits d'écotourisme","G1301","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","G1301","N"
"12819","Concepteur / Conceptrice de produits en tourisme d'affaires","Concepteur / Conceptrice de produits en tourisme d'affaires","G1301","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","G1301","N"
"12820","Concepteur / Conceptrice de produits industriels mécaniques","Concepteur / Conceptrice de produits industriels mécaniques","H1203","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H1203","N"
"12821","Concepteur / Conceptrice de produits touristiques","Concepteur / Conceptrice de produits touristiques","G1301","Emploi stratégique pour la Transition écologique","","","","","PRINCIPALE","","G1301","N"
"12822","Concepteur designer / Conceptrice designeuse","Concepteur designer / Conceptrice designeuse","H1204","Emploi Blanc","","","","O","SYNONYME","","H1204","N"
"12823","Concepteur développeur / Conceptrice développeuse de produits d'assurances","Concepteur(trice) développeur(se) de produits d'assurances","C1101","Emploi Blanc","","","","","SYNONYME","","C1101","N"
"12824","Concepteur développeur / Conceptrice développeuse de système électronique","Concepteur(trice) développeur(se) de système électronique","H1209","Emploi Blanc","","","","","SYNONYME","","H1209","N"
"12825","Concepteur / Conceptrice en produits mécaniques","Concepteur / Conceptrice en produits mécaniques","H1203","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","H1203","N"
"12826","Concepteur / Conceptrice en publicité","Concepteur / Conceptrice en publicité","E1119","Emploi Blanc","O","","","","SYNONYME","","E1104","N"
"12827","Concepteur / Conceptrice forfaitiste tourisme","Concepteur / Conceptrice forfaitiste tourisme","G1301","Emploi stratégique pour la Transition écologique","","","","","SYNONYME","","G1301","N"
"12828","Concepteur / Conceptrice informatique","Concepteur / Conceptrice informatique","M1836","Emploi Blanc","O","","","","SYNONYME","","M1805","N"
"12829","Concepteur / Conceptrice logiciel informatique","Concepteur / Conceptrice logiciel informatique","M1861","Emploi Blanc","O","","","","SYNONYME","","M1805","N"
"12830","Concepteur / Conceptrice lumière","Concepteur / Conceptrice lumière","L1504","Emploi Blanc","","","","","SYNONYME","","L1504","N"
"12831","Concepteur / Conceptrice maquettiste en accessoires de mode","Concepteur / Conceptrice maquettiste en accessoires de mode","B1805","Emploi Blanc","","","","","SYNONYME","","B1805","N"
"12832","Concepteur / Conceptrice maquillages spectacle","Concepteur / Conceptrice maquillages spectacle","L1501","Emploi Blanc","","","","","SYNONYME","","L1501","N"
"12833","Concepteur / Conceptrice multimédia","Concepteur / Conceptrice multimédia","E1104","Emploi Blanc","O","","","","SYNONYME","","E1104","N"
"12834","Concepteur organisateur / Conceptrice organisatrice en formation","Concepteur(trice) organisateur(trice) en formation","K2132","Emploi Blanc","","","","O","SYNONYME","","K2111","N"
"12835","Concepteur réalisateur / Conceptrice réalisatrice communication","Concepteur(trice) réalisateur(trice) communication","E1104","Emploi Blanc","O","","","","SYNONYME","","E1104","N"
"12836","Concepteur réalisateur / Conceptrice réalisatrice de réseau télécoms","Concepteur(trice) réalisateur(trice) de réseau télécoms","M1804","Emploi Blanc","O","","","","SYNONYME","","M1804","N"
"12837","Concepteur rédacteur / Conceptrice rédactrice communication","Concepteur rédacteur / Conceptrice rédactrice communication","E1119","Emploi Blanc","O","","","","SYNONYME","","E1104","N"
