"code_rome","code_rome_cible","numero_ordre"
"A1311","A1313","6"
"A1311","G1216","9"
"A1311","G1231","10"
"A1311","K2111","7"
"A1311","M1413","8"
"A1312","A1303","4"
"A1312","A1307","3"
"A1312","H1237","7"
"A1312","H1304","2"
"A1312","H1520","6"
"A1312","H1523","1"
"A1312","K2402","5"
"A1312","M1406","9"
"A1312","M1429","10"
"A1312","M1891","8"
"A1313","A1306","7"
"A1313","A1312","3"
"A1313","H1302","2"
"A1313","H1304","4"
"A1313","H1523","1"
"A1313","K1404","9"
"A1313","K2111","5"
"A1313","M1413","6"
"A1313","M1429","8"
"A1401","A1210","3"
"A1401","A1419","2"
"A1401","A1444","1"
"A1401","D1507","6"
"A1401","G1602","9"
"A1401","H2102","8"
"A1401","H2105","5"
"A1401","H3302","4"
"A1401","N1103","7"
"A1402","A1202","4"
"A1402","A1203","5"
"A1402","A1210","6"
"A1402","A1403","2"
"A1402","A1419","1"
"A1402","A1433","3"
"A1402","D1219","10"
"A1402","D1507","11"
"A1402","H2102","7"
"A1402","H3302","8"
"A1402","N4120","9"
"A1403","A1101","2"
"A1403","A1202","3"
"A1403","A1407","4"
"A1403","A1419","1"
"A1403","F1709","5"
"A1403","G1602","12"
"A1403","H2101","11"
"A1403","H2102","6"
"A1403","H3301","7"
"A1403","N1101","10"
"A1403","N1103","9"
"A1403","N1105","8"
"A1404","A1415","4"
"A1404","A1417","1"
"A1404","A1428","2"
"A1404","D1105","7"
"A1404","D1301","6"
"A1404","D1410","5"
"A1404","H1502","10"
"A1404","H2504","9"
"A1404","K1802","8"
"A1404","N1101","3"
"A1405","A1101","8"
"A1405","A1304","2"
"A1405","A1414","3"
"A1405","A1416","1"
"A1405","A1418","4"
"A1405","A1420","6"
"A1405","A1429","7"
"A1405","D1107","10"
"A1405","D1502","9"
"A1405","H2102","5"
"A1406","A1404","1"
"A1406","A1417","2"
"A1406","D1105","9"
"A1406","D1502","6"
"A1406","D1504","10"
"A1406","H2102","7"
"A1406","I1103","8"
"A1406","I1605","4"
"A1406","N1202","5"
"A1406","N1302","3"
"A1407","A1101","5"
"A1407","A1304","3"
"A1407","A1412","4"
"A1407","A1416","2"
"A1407","A1420","1"
"A1407","D1116","6"
"A1407","H2103","7"
"A1407","H2104","8"
"A1407","N4105","10"
"A1407","N4125","9"
"A1408","A1306","5"
"A1408","A1310","2"
"A1408","A1435","1"
"A1408","A1506","4"
"A1408","A1511","3"
"A1408","D1502","8"
"A1408","G1240","6"
"A1408","H2103","7"
"A1408","N4125","9"
"A1409","A1202","4"
"A1409","A1302","1"
"A1409","A1310","2"
"A1409","A1416","3"
"A1409","D1113","6"
"A1409","D1407","5"
"A1409","D1502","7"
"A1409","H2102","8"
"A1409","H3302","9"
"A1409","N4125","10"
"A1410","A1304","2"
"A1410","A1313","4"
"A1410","A1412","8"
"A1410","A1416","1"
"A1410","D1502","3"
"A1410","G1231","7"
"A1410","G1240","5"
"A1410","H2104","9"
"A1410","N4125","6"
"A1411","A1302","2"
"A1411","A1304","3"
"A1411","A1310","8"
"A1411","A1416","1"
"A1411","D1103","5"
"A1411","D1301","6"
"A1411","D1407","4"
"A1411","D1502","10"
"A1411","H2103","7"
"A1411","N4125","9"
"A1412","A1407","6"
"A1412","A1410","5"
"A1412","D1107","8"
"A1412","D1403","9"
"A1412","D1502","10"
"A1412","G1101","3"
"A1412","G1202","4"
"A1412","G1602","2"
"A1412","H2102","1"
"A1412","M1608","7"
"A1413","D1410","10"
"A1413","D1502","9"
"A1413","G1803","2"
"A1413","G1805","1"
"A1413","G1807","5"
"A1413","H2506","3"
"A1413","M1416","8"
"A1413","N1115","6"
"A1413","N1302","4"
"A1413","N1303","7"
"A1414","A1207","6"
"A1414","A1208","5"
"A1414","A1304","7"
"A1414","A1416","3"
"A1414","A1420","2"
"A1414","A1429","4"
"A1414","A1434","1"
"A1414","D1209","8"
"A1414","D1219","9"
"A1414","K2111","10"
"A1415","A1404","1"
"A1415","A1406","2"
"A1415","A1425","7"
"A1415","A1427","10"
"A1415","D1105","3"
"A1415","H2102","4"
"A1415","I1601","5"
"A1415","I1605","6"
"A1415","N3102","8"
"A1415","N3203","9"
"A1416","A1304","1"
"A1416","A1306","5"
"A1416","A1313","2"
"A1416","A1420","3"
"A1416","A1436","4"
"A1416","D1113","8"
"A1416","D1410","7"
"A1416","I1328","6"
"A1416","K1404","9"
"A1416","K2111","10"
"A1417","A1202","1"
"A1417","A1404","2"
"A1417","A1414","3"
"A1417","A1416","4"
"A1417","D1106","8"
"A1417","D1301","7"
"A1417","G1102","5"
"A1417","G1201","9"
"A1417","H2102","11"
"A1417","K1802","6"
"A1417","N1103","10"
"A1418","A1405","2"
"A1418","A1413","4"
"A1418","A1414","1"
"A1418","A1420","3"
"A1418","D1406","10"
"A1418","D1410","6"
"A1418","G1102","7"
"A1418","G1801","8"
"A1418","G1804","9"
"A1418","H2206","5"
"A1419","A1101","1"
"A1419","A1202","6"
"A1419","A1203","7"
"A1419","A1401","3"
"A1419","A1402","2"
"A1419","A1403","4"
"A1419","A1414","5"
"A1419","H2103","8"
"A1419","H3302","10"
"A1419","N1103","9"
"A1420","A1205","4"
"A1420","A1304","5"
"A1420","A1414","1"
"A1420","A1416","3"
"A1420","A1418","2"
"A1420","D1107","6"
"A1420","D1410","7"
"A1420","D1502","10"
"A1420","H2102","9"
"A1420","H2502","8"
"A1421","A1202","5"
"A1421","A1403","4"
"A1421","A1407","2"
"A1421","A1501","3"
"A1421","A1502","1"
"A1421","B1802","6"
"A1421","G1210","8"
"A1421","I1203","7"
"A1421","K1701","10"
"A1421","K1705","9"
"A1422","A1304","4"
"A1422","A1413","2"
"A1422","A1418","3"
"A1422","A1423","1"
"A1422","A1446","10"
"A1422","D1301","7"
"A1422","D1410","5"
"A1422","D1501","6"
"A1422","G1801","8"
"A1422","G1804","9"
"A1423","A1418","1"
"A1423","D1301","3"
"A1423","D1410","2"
"A1423","H1206","8"
"A1423","H1503","6"
"A1423","K2111","4"
"A1423","K2402","5"
"A1423","M1101","7"
"A1423","M1707","9"
"A1423","N1301","10"
"A1424","A1207","2"
"A1424","A1304","3"
"A1424","A1404","1"
"A1424","D1105","4"
"A1424","D1410","6"
"A1424","K2111","9"
"A1424","M1101","8"
"A1424","N1101","5"
"A1424","N1303","7"
"A1425","A1202","2"
"A1425","A1415","1"
"A1425","A1430","7"
"A1425","H2102","8"
"A1425","H2406","5"
"A1425","H2415","6"
"A1425","I1203","9"
"A1425","N1103","4"
"A1425","N3203","3"
"A1426","A1204","8"
"A1426","A1408","3"
"A1426","A1501","1"
"A1426","A1503","4"
"A1426","A1506","2"
"A1426","G1202","6"
"A1426","G1209","7"
"A1426","G1216","5"
"A1427","A1404","3"
"A1427","A1406","2"
"A1427","A1415","1"
"A1427","A1428","10"
"A1427","D1407","9"
"A1427","I1601","4"
"A1427","I1605","5"
"A1427","N1103","6"
"A1427","N3102","7"
"A1427","N3203","8"
"A1428","A1202","1"
"A1428","A1404","3"
"A1428","A1417","2"
"A1428","A1424","4"
"A1428","D1301","6"
"A1428","G1101","8"
"A1428","G1202","7"
"A1428","G1602","9"
"A1428","H1210","10"
"A1428","N1103","5"
"A1429","A1202","3"
"A1429","A1204","4"
"A1429","A1208","7"
"A1429","A1416","2"
"A1429","D1106","6"
"A1429","D1301","5"
"A1429","D1507","8"
"A1429","G1102","1"
"A1429","G1202","9"
"A1429","M1608","10"
"A1430","A1202","3"
"A1430","A1404","1"
"A1430","A1419","4"
"A1430","A1428","2"
"A1430","A1431","5"
"A1430","H2102","7"
"A1430","H3301","6"
"A1430","N1101","10"
"A1430","N1103","8"
"A1430","N1105","9"
"A1431","A1202","1"
"A1431","A1424","2"
"A1431","A1430","3"
"A1431","D1105","4"
"A1431","H2102","8"
"A1431","H3301","9"
"A1431","N1101","6"
"A1431","N1103","5"
"A1431","N4105","7"
"A1432","A1204","3"
"A1432","A1207","5"
"A1432","A1208","4"
"A1432","A1414","1"
"A1432","A1420","2"
"A1432","B1401","6"
"A1432","D1212","7"
"A1432","D1301","8"
"A1432","G1240","9"
"A1432","H2201","10"
"A1433","A1304","2"
"A1433","A1414","6"
"A1433","A1416","3"
"A1433","A1420","4"
"A1433","A1429","5"
"A1433","A1440","1"
"A1433","D1107","7"
"A1433","D1502","8"
"A1433","G1602","10"
"A1433","H2506","9"
"A1434","A1302","1"
"A1434","A1304","4"
"A1434","A1416","2"
"A1434","A1420","3"
"A1434","A1433","5"
"A1434","D1107","7"
"A1434","D1410","6"
"A1434","H2506","8"
"A1434","N1302","9"
"A1435","A1426","1"
"A1435","A1501","5"
"A1435","A1503","6"
"A1435","A1506","4"
"A1435","A1508","2"
"A1435","A1509","3"
"A1435","D1210","8"
"A1435","G1203","9"
"A1435","G1240","7"
"A1435","N4125","10"
"A1436","A1213","5"
"A1436","A1302","4"
"A1436","A1304","3"
"A1436","A1416","2"
"A1436","A1420","1"
"A1436","D1407","6"
"A1436","I1603","7"
"A1436","K1404","10"
"A1436","K2111","9"
"A1436","K2124","8"
"A1437","A1101","9"
"A1437","A1302","2"
"A1437","A1414","1"
"A1437","A1420","5"
"A1437","A1433","3"
"A1437","A1440","4"
"A1437","D1107","7"
"A1437","D1502","8"
"A1437","H2105","6"
"A1438","A1202","9"
"A1438","A1404","4"
"A1438","A1415","1"
"A1438","A1425","3"
"A1438","A1430","2"
"A1438","D1105","5"
"A1438","G1229","7"
"A1438","G1608","6"
"A1438","H2102","8"
"A1438","N1103","10"
"A1439","A1304","4"
"A1439","A1305","2"
"A1439","A1308","1"
"A1439","D1116","3"
"A1439","G1230","6"
"A1439","G1233","7"
"A1439","G1405","9"
"A1439","G1408","8"
"A1439","L1403","5"
"A1439","M1707","10"
"A1440","A1304","5"
"A1440","A1313","6"
"A1440","A1414","3"
"A1440","A1429","4"
"A1440","A1433","1"
"A1440","A1437","2"
"A1440","D1107","8"
"A1440","G1240","7"
"A1440","K1806","9"
"A1440","K1811","10"
"A1441","A1207","6"
"A1441","A1208","7"
"A1441","A1405","5"
"A1441","A1414","2"
"A1441","A1420","1"
"A1441","A1432","3"
"A1441","A1436","4"
"A1441","D1209","9"
"A1441","D1219","8"
"A1441","G1240","10"
"A1442","A1202","5"
"A1442","A1310","4"
"A1442","A1416","3"
"A1442","A1435","1"
"A1442","D1113","8"
"A1442","D1502","9"
"A1442","G1240","2"
"A1442","H2101","6"
"A1442","H2103","7"
"A1442","N4125","10"
"A1443","A1304","5"
"A1443","A1405","1"
"A1443","A1413","2"
"A1443","A1418","3"
"A1443","A1422","10"
"A1443","A1437","4"
"A1443","D1106","8"
"A1443","D1410","9"
"A1443","H2102","6"
"A1443","H2506","7"
"A1444","A1202","5"
"A1444","A1203","6"
"A1444","A1210","4"
"A1444","A1401","1"
"A1444","A1419","2"
"A1444","A1420","3"
"A1444","H2105","8"
"A1444","H3302","7"
"A1444","N1103","9"
"A1445","A1406","2"
"A1445","A1415","1"
"A1445","A1438","3"
"A1445","D1105","4"
"A1445","G1229","5"
"A1445","H2102","8"
"A1445","I1502","6"
"A1445","I1601","7"
"A1445","N1103","10"
"A1445","N3102","9"
"A1446","A1418","1"
"A1446","A1420","3"
"A1446","A1423","2"
"A1446","D1410","6"
"A1446","D1419","4"
"A1446","G1804","5"
"A1446","H1502","9"
"A1446","K2111","10"
"A1446","M1101","8"
"A1446","M1707","7"
"A1447","A1414","3"
"A1447","A1433","1"
"A1447","A1434","4"
"A1447","A1440","2"
"A1447","D1302","5"
"A1447","D1403","6"
"A1447","G1231","8"
"A1447","G1240","9"
"A1447","G1801","10"
"A1447","K1108","7"
"A1501","A1309","5"
"A1501","A1403","6"
"A1501","A1426","4"
"A1501","A1435","1"
"A1501","A1505","10"
"A1501","A1509","2"
"A1501","A1511","3"
"A1501","D1210","7"
"A1501","D1405","8"
"A1501","M1613","9"
"A1502","A1101","2"
"A1502","A1407","1"
"A1502","A1421","3"
"A1502","A1501","4"
"A1502","B1601","10"
"A1502","G1102","7"
"A1502","H2913","5"
"A1502","K2111","9"
"A1502","N1103","6"
"A1502","N4101","8"
"A1503","A1403","2"
"A1503","A1408","1"
"A1503","A1501","3"
"A1503","D1210","8"
"A1503","D1507","7"
"A1503","J1301","9"
"A1503","J1303","5"
"A1503","J1309","6"
"A1503","K1302","4"
"A1503","M1601","10"
"A1504","A1304","4"
"A1504","A1313","3"
"A1504","A1507","2"
"A1504","A1509","1"
"A1504","H1223","10"
"A1504","J1203","5"
"A1504","K1414","8"
"A1504","K2108","9"
"A1504","K2402","6"
"A1504","K2404","7"
"A1505","A1403","1"
"A1505","A1408","8"
"A1505","A1410","2"
"A1505","A1426","3"
"A1505","A1501","6"
"A1505","H1214","4"
"A1505","H1503","5"
"A1505","H2303","7"
"A1505","K2111","9"
"A1506","A1202","5"
"A1506","A1403","4"
"A1506","A1408","3"
"A1506","A1501","1"
"A1506","A1503","2"
"A1506","D1210","6"
"A1506","G1101","8"
"A1506","G1216","7"
"A1506","G1405","9"
"A1506","N4125","10"
"A1507","A1302","3"
"A1507","A1407","1"
"A1507","A1408","2"
"A1507","D1405","4"
"A1507","E1106","5"
"A1507","H1206","8"
"A1507","K1802","6"
"A1507","K2111","7"
"A1507","K2402","9"
"A1507","M1302","10"
"A1508","A1202","10"
"A1508","A1408","2"
"A1508","A1426","9"
"A1508","A1435","1"
"A1508","A1505","7"
"A1508","A1506","8"
"A1508","A1507","4"
"A1508","A1509","5"
"A1508","L1204","3"
"A1508","N4125","6"
"A1509","A1408","8"
"A1509","A1426","10"
"A1509","A1435","6"
"A1509","A1439","7"
"A1509","A1501","1"
"A1509","A1506","4"
"A1509","A1507","3"
"A1509","A1508","2"
"A1509","A1511","9"
"A1509","N4125","5"
"A1510","A1204","9"
"A1510","A1210","10"
"A1510","A1309","3"
"A1510","A1421","1"
"A1510","A1439","2"
"A1510","G1210","4"
"A1510","G1230","5"
"A1510","L1403","6"
"A1510","N4117","7"
"A1510","N4125","8"
"A1511","A1403","7"
"A1511","A1426","8"
"A1511","A1501","1"
"A1511","A1503","6"
"A1511","A1505","4"
"A1511","A1506","3"
"A1511","A1509","5"
"A1511","D1210","9"
"A1511","N4125","2"
"B1101","B1201","1"
"B1101","B1301","2"
"B1101","B1302","3"
"B1101","E1201","7"
"B1101","G1202","6"
"B1101","K1602","5"
"B1101","K2105","11"
"B1101","K2107","9"
"B1101","K2109","12"
"B1101","L1103","10"
"B1101","L1502","4"
"B1101","L1503","8"
"B1102","B1103","3"
"B1102","B1201","1"
"B1102","B1302","6"
"B1102","B1603","8"
"B1102","E1205","9"
"B1102","F1102","10"
"B1102","F1612","7"
"B1102","F1624","2"
"B1102","H1204","4"
"B1102","K2111","5"
"B1103","A1206","8"
"B1103","B1102","1"
"B1103","B1304","7"
"B1103","F1612","4"
"B1103","F1624","5"
"B1103","F1707","9"
"B1103","G1106","6"
"B1103","H1204","10"
"B1103","H2208","3"
"B1103","K2111","2"
"B1201","B1102","1"
"B1201","B1103","3"
"B1201","B1302","4"
"B1201","B1602","2"
"B1201","F1624","8"
"B1201","H1204","5"
"B1201","H2803","9"
"B1201","J1410","10"
"B1201","K2111","6"
"B1201","K2136","7"
"B1301","B1102","9"
"B1301","D1503","2"
"B1301","D1506","1"
"B1301","E1205","4"
"B1301","H1204","5"
"B1301","H1229","6"
"B1301","H1233","7"
"B1301","K1607","8"
"B1301","L1513","3"
"B1302","B1201","2"
"B1302","B1303","3"
"B1302","B1402","1"
"B1302","B1603","4"
"B1302","B1804","5"
"B1302","D1201","6"
"B1302","F1601","10"
"B1302","G1202","8"
"B1302","H2208","7"
"B1302","K2105","9"
"B1303","B1101","4"
"B1303","B1302","3"
"B1303","B1601","2"
"B1303","B1603","1"
"B1303","B1604","5"
"B1303","E1306","7"
"B1303","G1202","8"
"B1303","H2208","6"
"B1303","K2105","9"
"B1304","B1101","4"
"B1304","B1201","1"
"B1304","B1603","8"
"B1304","D1501","5"
"B1304","G1101","9"
"B1304","G1202","2"
"B1304","G1203","6"
"B1304","G1209","10"
"B1304","H2208","3"
"B1304","K1206","7"
"B1401","A1432","8"
"B1401","B1304","10"
"B1401","B1404","2"
"B1401","B1802","4"
"B1401","B1806","3"
"B1401","G1202","7"
"B1401","H1204","5"
"B1401","H2210","1"
"B1401","H2419","9"
"B1401","K2111","6"
"B1402","B1304","3"
"B1402","B1403","1"
"B1402","B1701","8"
"B1402","B1802","2"
"B1402","B1806","9"
"B1402","D1201","4"
"B1402","H2401","10"
"B1402","K1601","6"
"B1402","K1603","7"
"B1402","K2111","5"
"B1403","B1302","6"
"B1403","B1401","5"
"B1403","B1402","1"
"B1403","D1201","2"
"B1403","D1211","8"
"B1403","K1105","9"
"B1403","K1602","3"
"B1403","K1603","7"
"B1403","K1607","10"
"B1403","K2111","4"
"B1404","A1440","8"
"B1404","B1302","4"
"B1404","B1401","6"
"B1404","B1806","3"
"B1404","B1809","7"
"B1404","H2201","2"
"B1404","H2208","1"
"B1404","H2402","10"
"B1404","H2426","5"
"B1404","K2111","9"
"B1501","B1502","1"
"B1501","B1503","3"
"B1501","B1504","2"
"B1501","H2206","7"
"B1501","K1607","4"
"B1501","K1808","5"
"B1501","K2111","6"
"B1501","L1202","8"
"B1501","L1508","9"
"B1502","B1501","3"
"B1502","B1503","2"
"B1502","B1504","1"
"B1502","H2207","7"
"B1502","K1105","8"
"B1502","K1601","9"
"B1502","K1607","4"
"B1502","K1808","5"
"B1502","K2111","6"
"B1503","B1501","3"
"B1503","B1502","1"
"B1503","B1504","2"
"B1503","B1505","4"
"B1503","H2206","8"
"B1503","H2902","9"
"B1503","K1607","5"
"B1503","K2111","6"
"B1503","L1202","7"
"B1504","B1501","3"
"B1504","B1502","1"
"B1504","B1503","2"
"B1504","B1505","8"
"B1504","B1601","7"
"B1504","B1802","10"
"B1504","D1221","9"
"B1504","H2206","6"
"B1504","K2111","4"
"B1504","L1202","5"
"B1505","B1501","4"
"B1505","B1502","1"
"B1505","B1503","3"
"B1505","B1504","2"
"B1505","K1602","6"
"B1505","K1604","8"
"B1505","K1607","5"
"B1505","K1808","7"
"B1601","B1101","3"
"B1601","B1302","4"
"B1601","B1303","6"
"B1601","B1501","5"
"B1601","B1603","2"
"B1601","B1604","1"
"B1601","D1301","7"
"B1601","G1202","10"
"B1601","H2901","8"
"B1601","H2911","11"
"B1601","K2111","9"
"B1602","B1101","5"
"B1602","B1201","1"
"B1602","B1302","2"
"B1602","B1303","4"
"B1602","B1603","3"
"B1602","D1301","12"
"B1602","F1607","6"
"B1602","G1202","10"
"B1602","H1204","7"
"B1602","H2801","8"
"B1602","H2805","9"
"B1602","K2111","11"
"B1603","B1302","3"
"B1603","B1303","2"
"B1603","B1601","1"
"B1603","B1604","4"
"B1603","B1605","6"
"B1603","B1610","10"
"B1603","D1214","5"
"B1603","H2604","7"
"B1603","H2909","8"
"B1603","H3405","9"
"B1604","B1303","4"
"B1604","B1502","7"
"B1604","B1605","2"
"B1604","B1606","10"
"B1604","B1612","1"
"B1604","H2603","5"
"B1604","I1407","6"
"B1604","J1405","9"
"B1604","K1607","3"
"B1604","K2111","8"
"B1605","B1302","3"
"B1605","B1303","4"
"B1605","B1601","1"
"B1605","B1606","7"
"B1605","B1607","6"
"B1605","B1609","8"
"B1605","B1610","5"
"B1605","B1805","2"
"B1605","D1201","9"
"B1605","K2111","10"
"B1606","B1302","2"
"B1606","B1303","3"
"B1606","B1601","1"
"B1606","B1605","8"
"B1606","B1607","7"
"B1606","B1609","6"
"B1606","B1610","5"
"B1606","B1805","4"
"B1606","D1201","9"
"B1606","K2111","10"
"B1607","B1302","1"
"B1607","B1604","2"
"B1607","B1605","4"
"B1607","B1606","5"
"B1607","B1609","3"
"B1607","B1610","6"
"B1607","D1201","7"
"B1607","F1612","9"
"B1607","K2111","8"
"B1608","B1303","5"
"B1608","B1601","8"
"B1608","B1604","1"
"B1608","B1605","7"
"B1608","B1606","2"
"B1608","B1609","10"
"B1608","B1610","4"
"B1608","B1613","3"
"B1608","H3405","6"
"B1608","K2111","9"
"B1609","B1604","1"
"B1609","B1605","4"
"B1609","B1606","5"
"B1609","B1607","3"
"B1609","B1612","2"
"B1609","H1502","7"
"B1609","K2111","6"
"B1610","B1303","3"
"B1610","B1601","2"
"B1610","B1605","5"
"B1610","B1606","6"
"B1610","B1607","4"
"B1610","B1805","1"
"B1610","H2411","8"
"B1610","K2111","7"
"B1611","B1102","9"
"B1611","B1605","3"
"B1611","B1606","6"
"B1611","B1607","7"
"B1611","B1608","1"
"B1611","B1610","2"
"B1611","H2415","5"
"B1611","H3405","4"
"B1611","K2114","8"
"B1612","E1103","2"
"B1612","E1104","3"
"B1612","E1206","7"
"B1612","H1207","1"
"B1612","L1510","4"
"B1612","M1402","6"
"B1612","M1704","5"
"B1613","B1601","10"
"B1613","B1604","3"
"B1613","B1605","1"
"B1613","B1606","2"
"B1613","B1609","7"
"B1613","B1612","5"
"B1613","F1102","8"
"B1613","H1204","4"
"B1613","K1602","9"
"B1613","K2111","6"
"B1614","B1601","5"
"B1614","B1605","4"
"B1614","B1606","3"
"B1614","B1610","8"
"B1614","B1613","1"
"B1614","B1615","2"
"B1614","H2411","6"
"B1614","H2604","7"
"B1614","K2111","9"
"B1615","B1303","8"
"B1615","B1601","4"
"B1615","B1605","2"
"B1615","B1606","3"
"B1615","B1609","6"
"B1615","B1612","7"
