"code_rome","code_rome_cible","numero_ordre"
"E1107","E1109","1"
"E1107","E1401","2"
"E1107","E1402","3"
"E1107","G1301","4"
"E1107","K1802","10"
"E1107","L1303","5"
"E1107","M1703","7"
"E1107","M1704","8"
"E1107","M1707","6"
"E1108","D1433","9"
"E1108","E1105","5"
"E1108","E1112","6"
"E1108","E1120","1"
"E1108","E1121","7"
"E1108","E1123","2"
"E1108","E1312","3"
"E1108","H1207","4"
"E1108","K2107","8"
"E1109","E1401","2"
"E1109","K2108","9"
"E1109","M1402","5"
"E1109","M1701","6"
"E1109","M1702","7"
"E1109","M1703","8"
"E1109","M1711","4"
"E1109","M1715","3"
"E1109","M1716","1"
"E1110","E1103","6"
"E1110","E1106","9"
"E1110","E1109","1"
"E1110","E1116","5"
"E1110","E1128","4"
"E1110","E1129","10"
"E1110","E1412","7"
"E1110","M1403","8"
"E1110","M1716","2"
"E1110","M1828","3"
"E1111","E1101","9"
"E1111","E1103","6"
"E1111","E1104","1"
"E1111","E1107","8"
"E1111","E1206","2"
"E1111","E1402","4"
"E1111","M1705","5"
"E1111","M1805","3"
"E1111","M1831","7"
"E1112","D1407","4"
"E1112","E1101","6"
"E1112","E1107","2"
"E1112","E1109","1"
"E1112","E1401","3"
"E1112","E1402","5"
"E1112","G1102","10"
"E1112","K1404","9"
"E1112","M1705","7"
"E1112","M1716","8"
"E1113","C1203","6"
"E1113","D1402","4"
"E1113","D1403","5"
"E1113","E1101","1"
"E1113","E1104","2"
"E1113","E1110","8"
"E1113","E1111","9"
"E1113","E1402","3"
"E1113","M1716","7"
"E1114","E1106","7"
"E1114","E1110","9"
"E1114","E1116","2"
"E1114","E1118","1"
"E1114","E1119","6"
"E1114","E1128","3"
"E1114","K1412","4"
"E1114","K1601","8"
"E1114","L1103","5"
"E1115","E1128","9"
"E1115","E1206","1"
"E1115","H1218","4"
"E1115","K2119","7"
"E1115","L1302","5"
"E1115","L1308","2"
"E1115","M1711","3"
"E1115","M1715","6"
"E1115","M1853","8"
"E1115","M1865","10"
"E1116","E1105","8"
"E1116","E1106","6"
"E1116","E1114","5"
"E1116","E1128","2"
"E1116","E1401","7"
"E1116","E1412","1"
"E1116","M1224","4"
"E1116","M1426","3"
"E1117","E1107","1"
"E1117","E1110","8"
"E1117","E1112","3"
"E1117","E1404","5"
"E1117","G1303","7"
"E1117","G1802","10"
"E1117","K1206","6"
"E1117","L1104","2"
"E1117","M1610","9"
"E1117","N1303","4"
"E1118","E1103","5"
"E1118","E1105","4"
"E1118","E1106","1"
"E1118","E1109","7"
"E1118","E1114","2"
"E1118","K2108","6"
"E1118","L1103","3"
"E1118","M1403","8"
"E1119","E1104","3"
"E1119","E1110","7"
"E1119","E1113","5"
"E1119","E1124","6"
"E1119","E1127","4"
"E1119","E1206","1"
"E1119","E1401","2"
"E1119","M1716","8"
"E1119","M1831","9"
"E1120","E1109","2"
"E1120","E1116","1"
"E1120","E1123","6"
"E1120","G1104","10"
"E1120","H1207","3"
"E1120","K1412","9"
"E1120","K2107","8"
"E1120","K2111","4"
"E1120","M1426","5"
"E1120","M1886","7"
"E1121","E1104","8"
"E1121","E1106","7"
"E1121","E1110","4"
"E1121","E1112","2"
"E1121","E1127","5"
"E1121","E1305","6"
"E1121","H1207","1"
"E1121","K1601","3"
"E1121","M1403","9"
"E1122","E1106","6"
"E1122","E1108","5"
"E1122","E1110","3"
"E1122","E1112","4"
"E1122","E1123","8"
"E1122","E1312","2"
"E1122","H1207","1"
"E1122","J1401","9"
"E1122","K1103","10"
"E1122","K1601","7"
"E1123","D1429","5"
"E1123","D1433","8"
"E1123","E1108","2"
"E1123","E1116","10"
"E1123","E1120","7"
"E1123","E1121","6"
"E1123","E1312","3"
"E1123","G1227","1"
"E1123","K1213","4"
"E1123","K2107","9"
"E1124","E1109","6"
"E1124","E1112","1"
"E1124","E1127","2"
"E1124","E1401","8"
"E1124","M1427","7"
"E1124","M1704","10"
"E1124","M1706","9"
"E1124","M1716","4"
"E1124","M1718","3"
"E1124","M1847","5"
"E1125","E1104","2"
"E1125","E1128","3"
"E1125","E1206","7"
"E1125","E1207","4"
"E1125","E1210","1"
"E1125","L1306","8"
"E1125","L1510","5"
"E1125","M1718","9"
"E1125","M1831","6"
"E1126","D1211","8"
"E1126","E1105","10"
"E1126","E1107","5"
"E1126","E1110","3"
"E1126","E1119","9"
"E1126","E1125","2"
"E1126","E1205","4"
"E1126","E1211","1"
"E1126","K2111","7"
"E1126","M1718","6"
"E1127","E1109","1"
"E1127","E1124","9"
"E1127","E1129","2"
"E1127","E1401","8"
"E1127","E1412","6"
"E1127","M1702","10"
"E1127","M1711","5"
"E1127","M1716","3"
"E1127","M1847","7"
"E1127","M1886","4"
"E1128","E1107","7"
"E1128","E1127","4"
"E1128","E1129","10"
"E1128","E1206","6"
"E1128","E1401","9"
"E1128","E1403","5"
"E1128","H1233","8"
"E1128","L1308","2"
"E1128","M1426","3"
"E1128","M1711","1"
"E1129","E1107","4"
"E1129","E1128","1"
"E1129","E1206","3"
"E1129","E1210","5"
"E1129","E1403","7"
"E1129","H1233","6"
"E1129","L1305","2"
"E1129","M1718","9"
"E1129","M1864","8"
"E1201","E1104","4"
"E1201","E1106","8"
"E1201","E1129","2"
"E1201","E1208","1"
"E1201","E1209","3"
"E1201","G1202","10"
"E1201","K1605","9"
"E1201","K2111","7"
"E1201","L1505","6"
"E1201","L1519","5"
"E1202","E1201","2"
"E1202","E1203","1"
"E1202","E1204","3"
"E1202","E1209","4"
"E1202","H1528","6"
"E1202","I1329","8"
"E1202","L1306","5"
"E1202","L1508","7"
"E1203","E1201","1"
"E1203","E1204","2"
"E1203","E1208","3"
"E1203","E1209","4"
"E1203","E1301","8"
"E1203","E1314","7"
"E1203","H1503","5"
"E1203","L1505","6"
"E1204","E1202","1"
"E1204","E1203","2"
"E1204","I1324","7"
"E1204","L1505","3"
"E1204","L1506","5"
"E1204","L1508","4"
"E1204","L1519","6"
"E1205","E1104","6"
"E1205","E1129","2"
"E1205","E1206","1"
"E1205","E1207","4"
"E1205","E1210","7"
"E1205","E1211","3"
"E1205","E1303","8"
"E1205","H1233","5"
"E1205","M1716","9"
"E1206","E1103","1"
"E1206","E1104","3"
"E1206","E1205","2"
"E1206","L1510","7"
"E1206","M1402","5"
"E1206","M1405","10"
"E1206","M1702","9"
"E1206","M1704","6"
"E1206","M1805","4"
"E1206","M1813","8"
"E1207","D1407","9"
"E1207","E1112","7"
"E1207","E1205","8"
"E1207","E1206","1"
"E1207","E1401","6"
"E1207","K2111","10"
"E1207","L1304","5"
"E1207","L1507","3"
"E1207","L1510","4"
"E1207","M1704","2"
"E1208","E1128","4"
"E1208","E1129","7"
"E1208","E1201","8"
"E1208","E1205","5"
"E1208","E1207","2"
"E1208","E1209","1"
"E1208","L1305","3"
"E1208","L1308","6"
"E1209","E1128","5"
"E1209","E1201","2"
"E1209","E1208","1"
"E1209","H1501","4"
"E1209","L1306","6"
"E1209","L1505","3"
"E1209","M1891","7"
"E1210","E1113","8"
"E1210","E1206","4"
"E1210","E1207","3"
"E1210","E1403","6"
"E1210","L1510","5"
"E1210","M1711","7"
"E1210","M1805","1"
"E1210","M1861","2"
"E1211","E1129","8"
"E1211","E1205","7"
"E1211","H1203","2"
"E1211","H1204","6"
"E1211","H1229","4"
"E1211","H1233","3"
"E1211","H2209","1"
"E1211","K1105","5"
"E1301","E1302","3"
"E1301","E1303","1"
"E1301","E1306","2"
"E1301","E1308","4"
"E1301","H2202","7"
"E1301","H2408","8"
"E1301","H2603","9"
"E1301","H3101","5"
"E1301","H3301","6"
"E1301","N1103","10"
"E1302","E1301","3"
"E1302","E1309","1"
"E1302","E1311","6"
"E1302","E1313","7"
"E1302","H3101","9"
"E1302","H3305","8"
"E1302","I1302","2"
"E1302","I1304","10"
"E1302","K2114","5"
"E1302","N1302","4"
"E1303","E1109","9"
"E1303","H1107","10"
"E1303","H1402","8"
"E1303","H1406","5"
"E1303","H1523","6"
"E1303","H2510","1"
"E1303","I1102","3"
"E1303","I1332","2"
"E1303","K2114","4"
"E1303","M1102","7"
"E1304","E1302","1"
"E1304","E1307","2"
"E1304","H2604","7"
"E1304","H2903","9"
"E1304","H2909","4"
"E1304","H3102","11"
"E1304","H3301","8"
"E1304","H3302","3"
"E1304","M1603","10"
"E1304","N1103","6"
"E1304","N1105","5"
"E1305","E1119","2"
"E1305","E1203","7"
"E1305","E1205","8"
"E1305","E1301","9"
"E1305","E1303","4"
"E1305","E1310","3"
"E1305","E1311","6"
"E1305","E1312","1"
"E1305","H2424","5"
"E1306","E1202","3"
"E1306","E1205","5"
"E1306","E1303","1"
"E1306","E1305","2"
"E1306","E1308","4"
"E1306","H2408","8"
"E1306","K2109","7"
"E1306","K2111","6"
"E1306","L1510","9"
"E1307","D1408","9"
"E1307","D1505","3"
"E1307","D1507","8"
"E1307","E1302","1"
"E1307","E1304","2"
"E1307","M1601","5"
"E1307","M1602","4"
"E1307","M1606","6"
"E1307","N1103","7"
"E1308","E1112","5"
"E1308","E1205","4"
"E1308","E1210","6"
"E1308","E1301","1"
"E1308","E1303","2"
"E1308","E1307","10"
"E1308","E1310","7"
"E1308","H1502","3"
"E1308","H2424","8"
"E1308","K2111","9"
"E1309","E1303","10"
"E1309","H1403","3"
"E1309","H1502","5"
"E1309","H1526","7"
"E1309","I1304","4"
"E1309","I1332","9"
"E1309","M1620","8"
"E1309","N1205","6"
"E1309","N1301","1"
"E1309","N1302","2"
"E1310","E1303","7"
"E1310","H1502","2"
"E1310","H1503","8"
"E1310","H1515","9"
"E1310","H1523","4"
"E1310","H1526","10"
"E1310","H2415","5"
"E1310","H2507","3"
"E1310","K2114","1"
"E1310","M1416","6"
"E1311","E1301","1"
"E1311","E1303","3"
"E1311","E1310","5"
"E1311","E1313","4"
"E1311","H1510","6"
"E1311","H2102","8"
"E1311","H2912","10"
"E1311","H3301","9"
"E1311","I1304","2"
"E1311","I1321","7"
"E1312","E1106","2"
"E1312","E1112","7"
"E1312","E1119","4"
"E1312","E1121","3"
"E1312","H1207","5"
"E1312","K2107","6"
"E1312","K2130","8"
"E1312","K2131","1"
"E1313","E1303","5"
"E1313","H1521","6"
"E1313","H1526","3"
"E1313","H1528","7"
"E1313","H2504","8"
"E1313","H2505","4"
"E1313","I1324","9"
"E1313","I1326","10"
"E1313","K2111","1"
"E1313","N1301","2"
"E1314","E1301","2"
"E1314","E1302","3"
"E1314","E1310","8"
"E1314","E1313","7"
"E1314","E1315","1"
"E1314","H2912","6"
"E1314","H3101","4"
"E1314","H3305","10"
"E1314","I1304","5"
"E1314","I1335","9"
"E1315","E1301","1"
"E1315","E1302","2"
"E1315","E1303","9"
"E1315","E1306","5"
"E1315","E1311","8"
"E1315","E1313","10"
"E1315","H2912","7"
"E1315","H3101","3"
"E1315","H3304","6"
"E1315","I1304","4"
"E1401","E1107","3"
"E1401","E1109","2"
"E1401","E1128","1"
"E1401","E1403","7"
"E1401","K2111","4"
"E1401","M1702","9"
"E1401","M1715","6"
"E1401","M1716","8"
"E1401","M1717","5"
"E1402","E1107","8"
"E1402","E1113","7"
"E1402","E1128","5"
"E1402","E1401","1"
"E1402","E1403","3"
"E1402","E1412","2"
"E1402","K2111","9"
"E1402","M1702","4"
"E1402","M1711","6"
"E1403","E1109","7"
"E1403","E1124","8"
"E1403","E1128","3"
"E1403","E1206","5"
"E1403","E1412","9"
"E1403","M1426","2"
"E1403","M1716","1"
"E1403","M1717","4"
"E1403","M1886","6"
"E1404","D1401","8"
"E1404","D1402","5"
"E1404","E1107","3"
"E1404","E1113","6"
"E1404","E1119","9"
"E1404","E1401","1"
"E1404","E1402","7"
"E1404","K2111","4"
"E1404","M1716","2"
"E1405","E1113","5"
"E1405","E1127","10"
"E1405","E1206","7"
"E1405","E1402","2"
"E1405","E1403","1"
"E1405","M1426","6"
"E1405","M1716","4"
"E1405","M1834","8"
"E1405","M1855","9"
"E1405","M1886","3"
"E1406","E1104","9"
"E1406","E1107","7"
"E1406","E1110","1"
"E1406","E1112","10"
"E1406","E1113","6"
"E1406","E1206","8"
"E1406","E1402","4"
"E1406","E1403","2"
"E1406","M1716","3"
"E1406","M1886","5"
"E1407","E1113","4"
"E1407","E1128","7"
"E1407","E1206","3"
"E1407","E1210","2"
"E1407","E1403","6"
"E1407","K2111","5"
"E1407","M1707","8"
"E1407","M1716","9"
"E1407","M1886","1"
"E1408","D1410","6"
"E1408","E1115","8"
"E1408","E1124","7"
"E1408","E1128","3"
"E1408","E1401","5"
"E1408","E1402","1"
"E1408","E1407","2"
"E1408","M1705","9"
"E1408","M1718","4"
"E1409","E1113","5"
"E1409","E1206","4"
"E1409","E1401","2"
"E1409","E1403","1"
"E1409","M1101","8"
"E1409","M1419","9"
"E1409","M1703","7"
"E1409","M1711","3"
"E1409","M1886","6"
"E1410","C1303","9"
"E1410","E1113","3"
"E1410","E1401","5"
"E1410","M1403","7"
"E1410","M1419","1"
"E1410","M1426","2"
"E1410","M1704","4"
"E1410","M1716","8"
"E1410","M1717","6"
"E1411","C1205","8"
"E1411","D1416","3"
"E1411","E1107","5"
"E1411","E1128","6"
"E1411","E1401","1"
"E1411","E1409","2"
"E1411","M1716","7"
"E1411","M1828","4"
"E1412","D1406","5"
"E1412","E1109","1"
"E1412","E1401","9"
"E1412","E1402","8"
"E1412","E1410","7"
"E1412","L1308","6"
"E1412","M1426","3"
"E1412","M1711","2"
"E1412","M1715","4"
"E1413","E1129","4"
"E1413","E1401","1"
"E1413","E1414","6"
"E1413","E1415","7"
"E1413","M1702","8"
"E1413","M1704","9"
"E1413","M1716","5"
"E1413","M1828","2"
"E1413","M1886","3"
"E1414","E1112","7"
"E1414","E1124","9"
"E1414","E1402","3"
"E1414","E1408","4"
"E1414","E1409","1"
"E1414","E1413","5"
"E1414","M1419","8"
"E1414","M1705","10"
"E1414","M1707","6"
"E1414","M1718","2"
"E1415","E1107","8"
"E1415","E1128","4"
"E1415","E1129","7"
"E1415","E1303","2"
"E1415","E1401","1"
"E1415","E1402","9"
"E1415","E1407","10"
"E1415","L1302","6"
"E1415","M1705","5"
"E1415","M1825","3"
"F1101","C1506","5"
"F1101","F1121","2"
"F1101","F1125","3"
"F1101","F1127","1"
"F1101","F1205","4"
"F1101","I1101","6"
"F1101","K1802","9"
"F1101","K1811","10"
"F1101","M1102","7"
"F1101","M1302","8"
"F1102","B1101","7"
"F1102","B1301","4"
"F1102","B1806","5"
"F1102","C1504","9"
"F1102","D1201","3"
"F1102","D1301","10"
"F1102","D1403","8"
"F1102","F1101","1"
"F1102","F1104","2"
"F1102","L1503","6"
"F1103","C1106","6"
"F1103","D1407","10"
"F1103","F1108","4"
"F1103","F1109","2"
"F1103","F1114","3"
"F1103","F1201","1"
"F1103","F1204","5"
"F1103","K1802","7"
"F1103","K2111","8"
"F1103","M1416","9"
"F1104","D1407","8"
"F1104","F1108","1"
"F1104","F1110","2"
"F1104","F1114","6"
"F1104","F1120","4"
"F1104","F1125","3"
"F1104","F1126","5"
"F1104","F1140","9"
"F1104","H2209","7"
"F1104","K2111","10"
"F1105","E1106","8"
"F1105","F1118","2"
"F1105","F1119","3"
"F1105","F1129","4"
"F1105","F1143","1"
"F1105","F1203","5"
"F1105","K2108","7"
"F1105","K2402","6"
"F1105","M1411","10"
"F1105","M1808","9"
"F1106","C1506","5"
"F1106","F1113","3"
"F1106","F1117","2"
"F1106","F1125","4"
"F1106","F1137","1"
"F1106","F1204","10"
"F1106","H1206","7"
"F1106","H1237","6"
"F1106","K1809","8"
"F1106","M1102","9"
"F1107","C1502","7"
"F1107","F1103","2"
"F1107","F1104","1"
"F1107","F1105","4"
"F1107","F1106","6"
"F1107","F1109","3"
"F1107","F1110","5"
"F1107","K1802","9"
"F1107","K2109","8"
"F1107","M1808","10"
"F1108","D1212","9"
"F1108","D1407","6"
"F1108","F1104","1"
"F1108","F1114","2"
"F1108","F1120","3"
"F1108","F1126","4"
"F1108","F1710","8"
"F1108","H2209","7"
"F1108","M1101","5"
"F1109","A1203","9"
"F1109","A1204","6"
"F1109","C1504","8"
"F1109","F1103","1"
"F1109","F1104","3"
"F1109","F1107","2"
"F1109","F1110","4"
"F1109","F1707","5"
"F1109","K1802","7"
"F1109","M1606","10"
"F1110","A1203","7"
"F1110","F1101","4"
"F1110","F1103","1"
"F1110","F1104","3"
"F1110","F1106","5"
"F1110","F1108","2"
"F1110","H1202","9"
"F1110","H1203","10"
"F1110","H2209","8"
"F1110","K1802","6"
"F1111","F1106","4"
"F1111","F1112","3"
"F1111","F1201","1"
"F1111","F1204","5"
"F1111","F1205","2"
"F1111","H1102","8"
"F1111","H1206","6"
"F1111","H1402","9"
"F1111","I1101","7"
"F1111","K2402","10"
"F1112","F1103","2"
"F1112","F1106","5"
"F1112","F1110","4"
"F1112","F1111","3"
"F1112","F1204","6"
"F1112","F1205","1"
"F1112","H1206","10"
"F1112","H2502","7"
"F1112","I1101","8"
"F1112","M1802","9"
"F1113","C1503","7"
"F1113","F1101","1"
"F1113","F1106","2"
"F1113","F1112","3"
"F1113","I1101","6"
"F1113","K2306","4"
"F1113","M1101","10"
"F1113","M1102","8"
"F1113","M1302","9"
"F1113","M1402","5"
"F1114","F1108","3"
"F1114","F1111","4"
"F1114","F1112","5"
"F1114","F1113","6"
"F1114","F1201","1"
"F1114","F1204","2"
"F1114","F1205","7"
"F1114","K1802","9"
"F1114","K2301","10"
"F1114","K2306","8"
"F1115","E1106","8"
"F1115","F1105","1"
"F1115","F1118","2"
"F1115","F1119","3"
"F1115","K2108","4"
"F1115","K2402","5"
"F1115","M1402","7"
"F1115","M1808","6"
"F1116","F1106","1"
"F1116","F1111","2"
"F1116","F1112","3"
"F1116","F1122","4"
"F1116","H1206","5"
"F1116","H1402","6"
"F1116","M1402","7"
"F1116","M1846","8"
"F1117","F1103","3"
"F1117","F1113","1"
"F1117","F1125","2"
"F1117","F1204","4"
"F1117","F1205","5"
"F1117","H1206","9"
"F1117","I1101","6"
"F1117","M1102","8"
"F1117","M1302","7"
"F1117","M1402","10"
"F1118","E1106","8"
"F1118","F1105","1"
"F1118","F1115","2"
"F1118","F1119","3"
"F1118","K2108","4"
"F1118","K2402","5"
"F1118","M1402","7"
"F1118","M1808","6"
"F1119","E1106","9"
"F1119","F1105","1"
"F1119","F1118","2"
"F1119","F1124","3"
"F1119","F1203","4"
"F1119","K2108","5"
"F1119","K2402","6"
"F1119","M1402","8"
"F1119","M1808","7"
"F1120","C1503","5"
"F1120","D1407","6"
"F1120","F1106","1"
"F1120","F1137","10"
"F1120","F1201","2"
"F1120","F1205","3"
"F1120","K2111","7"
"F1120","M1101","4"
"F1120","M1302","8"
"F1120","N1303","9"
"F1121","A1206","8"
"F1121","C1506","7"
"F1121","F1101","1"
"F1121","F1102","2"
"F1121","F1205","3"
"F1121","G1104","6"
"F1121","K1604","10"
"F1121","K2111","5"
"F1121","M1402","9"
"F1121","M1406","4"
"F1122","F1106","1"
"F1122","F1108","2"
"F1122","F1111","3"
"F1122","F1112","4"
"F1122","F1205","5"
"F1122","H1102","6"
"F1122","H1402","7"
"F1122","I1101","8"
"F1122","M1402","9"
"F1123","E1106","9"
"F1123","F1105","1"
"F1123","F1115","2"
"F1123","F1118","3"
"F1123","F1124","4"
"F1123","K2108","5"
"F1123","K2402","6"
"F1123","M1402","8"
"F1123","M1809","7"
"F1124","E1106","5"
"F1124","F1105","1"
"F1124","F1123","2"
"F1124","K1802","8"
"F1124","K2107","7"
"F1124","K2108","3"
"F1124","K2402","4"
"F1124","M1402","6"
"F1125","C1503","8"
"F1125","F1106","3"
"F1125","F1111","2"
"F1125","F1112","1"
"F1125","F1113","4"
"F1125","F1117","5"
"F1125","F1205","6"
"F1125","I1101","7"
"F1125","M1302","10"
"F1125","M1402","9"
"F1126","A1206","6"
"F1126","F1104","3"
"F1126","F1108","1"
"F1126","F1114","2"
"F1126","F1120","9"
"F1126","F1140","10"
"F1126","H1202","5"
"F1126","H1204","4"
"F1126","K1404","8"
"F1126","K1802","7"
"F1127","A1313","3"
"F1127","F1101","1"
"F1127","F1121","4"
"F1127","F1125","5"
"F1127","I1101","2"
"F1127","K1802","6"
"F1127","K1811","7"
"F1127","K2108","9"
"F1127","M1429","8"
"F1128","A1313","7"
"F1128","F1105","1"
"F1128","F1118","3"
"F1128","F1124","4"
"F1128","F1129","2"
"F1128","F1138","5"
"F1128","F1203","6"
"F1128","K1809","9"
"F1128","K1813","8"
"F1128","K2111","10"
"F1129","F1105","1"
"F1129","F1124","3"
"F1129","F1128","2"
"F1129","F1143","4"
"F1129","F1203","7"
"F1129","H1218","6"
"F1129","H1534","5"
"F1129","K2402","9"
"F1129","M1303","8"
"F1130","C1106","7"
"F1130","F1106","1"
"F1130","F1110","2"
"F1130","F1113","6"
"F1130","F1120","3"
"F1130","F1201","5"
"F1130","F1204","4"
"F1130","K1802","10"
"F1130","M1302","8"
"F1130","M1429","9"
"F1131","A1206","5"
"F1131","F1103","8"
"F1131","F1104","7"
"F1131","F1107","1"
"F1131","F1108","6"
"F1131","F1109","2"
"F1131","F1126","4"
"F1131","K1510","9"
"F1131","M1808","3"
"F1132","F1103","7"
"F1132","F1106","1"
"F1132","F1130","6"
"F1132","F1137","2"
"F1132","F1204","3"
"F1132","I1329","5"
"F1132","L1508","4"
"F1132","M1412","8"
"F1133","C1503","1"
"F1133","C1506","2"
"F1133","I1101","4"
"F1133","K1404","3"
"F1133","K1802","5"
"F1133","K1908","6"
"F1133","K2108","8"
"F1133","M1402","7"
"F1134","D1407","10"
"F1134","F1103","3"
"F1134","F1106","4"
"F1134","F1113","1"
"F1134","F1120","2"
"F1134","F1201","5"
"F1134","H1101","9"
"F1134","I1302","8"
"F1134","I1314","6"
"F1134","I1320","7"
"F1135","C1506","8"
"F1135","D1407","6"
"F1135","F1106","1"
"F1135","F1125","2"
"F1135","F1201","4"
"F1135","F1205","3"
"F1135","K2111","9"
"F1135","M1102","5"
"F1135","M1715","7"
"F1136","A1312","4"
"F1136","A1313","5"
"F1136","F1204","9"
"F1136","H1237","7"
"F1136","H1523","6"
"F1136","K1806","1"
"F1136","K1811","2"
"F1136","M1302","8"
"F1136","M1429","3"
"F1137","D1407","8"
"F1137","F1103","3"
"F1137","F1106","2"
"F1137","F1112","6"
"F1137","F1120","5"
"F1137","F1125","4"
"F1137","F1135","1"
"F1137","F1201","7"
"F1137","F1204","10"
"F1137","M1101","9"
"F1138","D1420","9"
"F1138","F1105","1"
"F1138","F1119","5"
"F1138","F1124","3"
"F1138","F1129","4"
"F1138","F1143","2"
"F1138","H1218","6"
"F1138","K2108","8"
"F1138","K2402","7"
"F1138","M1302","10"
"F1139","B1102","2"
"F1139","B1301","9"
"F1139","B1302","1"
"F1139","D1201","8"
"F1139","F1102","4"
"F1139","F1104","3"
"F1139","F1108","6"
"F1139","F1710","7"
"F1139","L1503","10"
"F1139","L1524","5"
"F1140","A1206","6"
"F1140","D1410","10"
"F1140","F1103","2"
"F1140","F1104","3"
"F1140","F1120","4"
"F1140","F1126","1"
"F1140","F1139","8"
"F1140","H1233","5"
"F1140","L1527","7"
"F1140","M1101","9"
"F1141","F1106","1"
"F1141","F1125","2"
"F1141","F1137","3"
"F1141","H1206","4"
"F1141","H1230","5"
"F1141","I1102","6"
"F1141","K2108","10"
"F1141","K2402","7"
"F1141","M1411","9"
"F1141","M1828","8"
"F1142","A1306","9"
"F1142","A1312","3"
"F1142","E1106","10"
"F1142","G1222","8"
"F1142","H1218","4"
"F1142","K2108","2"
"F1142","K2402","1"
"F1142","M1407","7"
"F1142","M1888","6"
"F1142","N1206","5"
"F1143","E1106","8"
"F1143","F1115","1"
"F1143","F1118","4"
"F1143","F1119","3"
"F1143","F1129","5"
"F1143","F1138","2"
"F1143","H1218","10"
"F1143","K2108","6"
"F1143","K2402","7"
"F1143","M1302","9"
"F1201","F1106","5"
"F1201","F1113","9"
"F1201","F1135","3"
"F1201","F1137","4"
"F1201","F1205","2"
"F1201","F1208","1"
"F1201","I1101","6"
"F1201","K2111","8"
"F1201","M1102","7"
"F1202","F1103","5"
"F1202","F1106","4"
"F1202","F1201","1"
"F1202","F1203","3"
"F1202","F1205","2"
"F1202","I1101","9"
"F1202","K1203","6"
"F1202","K2203","7"
"F1202","K2302","10"
"F1202","K2306","8"
"F1203","F1105","1"
"F1203","F1205","2"
"F1203","H1303","10"
"F1203","H1401","6"
"F1203","H2502","7"
"F1203","K2306","5"
"F1203","M1102","8"
"F1203","M1301","4"
"F1203","M1302","3"
"F1203","M1701","9"
"F1204","A1313","4"
"F1204","F1103","1"
"F1204","F1106","2"
"F1204","F1137","3"
"F1204","H1303","7"
"F1204","I1503","6"
"F1204","K1811","10"
"F1204","K2114","8"
"F1204","M1413","5"
"F1204","M1505","9"
"F1205","F1106","1"
"F1205","F1137","4"
"F1205","F1204","7"
"F1205","F1210","6"
"F1205","I1101","2"
"F1205","I1105","3"
"F1205","K2111","9"
"F1205","M1102","8"
"F1205","N1301","5"
"F1206","F1103","3"
"F1206","F1108","4"
"F1206","F1114","8"
"F1206","F1201","2"
"F1206","F1202","1"
"F1206","H1108","6"
"F1206","I1203","7"
"F1206","K2111","9"
"F1206","K2203","5"
"F1207","A1207","5"
"F1207","A1211","6"
"F1207","F1108","3"
"F1207","F1201","2"
"F1207","F1202","1"
"F1207","I1616","10"
"F1207","K2203","4"
"F1207","K2301","7"
"F1207","K2306","8"
"F1207","N1104","9"
"F1208","F1106","5"
"F1208","F1135","4"
"F1208","F1201","2"
"F1208","F1205","3"
"F1208","F1210","1"
"F1208","I1101","6"
"F1208","K2147","7"
"F1208","M1102","8"
"F1208","M1302","9"
"F1209","F1203","6"
"F1209","F1204","3"
"F1209","F1205","4"
"F1209","F1208","1"
"F1209","F1210","2"
"F1209","I1101","5"
"F1209","K2111","10"
"F1209","K2203","7"
"F1209","K2302","8"
"F1209","K2306","9"
"F1210","F1137","3"
"F1210","F1204","2"
"F1210","F1205","1"
"F1210","I1101","4"
"F1210","K2111","9"
"F1210","M1102","5"
"F1210","M1302","10"
"F1210","M1303","8"
"F1210","M1406","7"
"F1210","M1707","6"
"F1301","F1206","3"
"F1301","F1302","1"
"F1301","F1709","2"
"F1301","F1710","4"
"F1301","I1203","7"
"F1301","I1314","8"
"F1301","I1315","9"
"F1301","N1104","5"
"F1301","N3203","6"
"F1302","A1101","8"
"F1302","F1206","1"
"F1302","F1301","2"
"F1302","F1303","9"
"F1302","I1103","6"
"F1302","I1616","10"
"F1302","K2111","7"
"F1302","N1111","4"
"F1302","N1114","5"
"F1302","N4101","3"
"F1303","A1102","5"
"F1303","A1207","4"
"F1303","F1207","3"
"F1303","F1301","2"
"F1303","F1302","1"
"F1303","H3305","10"
"F1303","I1615","6"
"F1303","I1616","7"
"F1303","N4101","8"
"F1303","N4401","9"
"F1401","A1202","8"
"F1401","F1203","3"
"F1401","F1301","5"
"F1401","F1302","7"
"F1401","F1502","2"
"F1401","F1702","1"
"F1401","F1704","4"
"F1401","F1709","6"
"F1401","H2701","9"
"F1401","I1309","10"
"F1402","A1102","6"
"F1402","F1301","4"
"F1402","F1302","1"
"F1402","F1704","2"
"F1402","F1705","3"
"F1402","F1709","5"
"F1402","H2804","8"
"F1402","I1503","9"
"F1402","K2304","10"
"F1402","N1105","7"
"F1501","D1212","8"
"F1501","F1206","3"
"F1501","F1502","1"
"F1501","F1503","2"
"F1501","F1610","4"
"F1501","F1619","5"
"F1501","F1625","6"
"F1501","F1710","7"
"F1501","H2211","9"
"F1501","N1101","10"
"F1502","F1204","6"
"F1502","F1206","2"
"F1502","F1301","5"
"F1502","F1505","3"
"F1502","F1610","10"
"F1502","F1622","1"
"F1502","F1623","4"
